time (s),temperature (C)
373.79,14.63
374.09,14.65
374.39,14.79
374.7,14.78
375.0,14.67
375.3,14.53
375.6,14.52
375.91,14.57
376.21,14.53
376.51,14.61
376.81,14.29
377.11,14.64
377.42,14.68
377.72,14.15
378.02,14.48
378.33,14.26
378.63,14.41
378.93,14.27
379.23,14.05
379.54,14.22
379.84,14.28
380.14,14.51
380.44,14.35
380.75,14.25
381.05,14.2
381.35,14.26
381.65,14.22
381.96,14.39
382.26,14.42
382.56,14.22
382.86,14.2
383.17,14.24
383.47,14.12
383.77,14.26
384.07,14.22
384.38,14.26
384.68,14.39
384.98,14.49
385.29,14.36
385.59,14.15
385.89,14.44
386.19,14.62
386.49,14.11
386.8,14.46
387.1,14.42
387.4,14.41
387.7,14.44
388.01,14.59
388.31,14.0
388.61,14.22
388.92,14.44
389.22,14.46
389.52,14.25
389.82,14.73
390.13,14.35
390.43,14.4
390.73,14.23
391.03,14.67
391.33,14.17
391.64,14.47
391.94,14.35
392.24,14.64
392.55,14.46
392.85,14.36
393.15,14.24
393.45,14.54
393.76,14.17
394.06,14.42
394.36,13.87
394.66,14.48
394.97,14.14
395.27,14.17
395.57,14.41
395.87,14.22
396.18,14.08
396.48,14.22
396.78,13.95
397.08,14.18
397.39,13.84
397.69,14.17
397.99,14.08
398.29,14.19
398.6,13.82
398.9,14.16
399.2,14.0
399.5,14.07
399.81,13.91
400.11,13.94
400.41,14.2
400.71,13.84
401.02,14.13
401.32,13.75
401.62,14.38
401.92,13.82
402.23,14.11
402.53,14.0
402.83,13.88
403.13,13.96
403.44,13.83
403.74,13.92
404.04,13.63
404.34,13.65
404.65,13.95
404.95,13.63
405.25,13.91
405.55,13.74
405.86,13.96
406.16,13.95
406.46,13.63
406.77,13.68
407.07,13.81
407.37,13.8
407.67,13.63
407.97,13.81
408.28,13.77
408.58,13.53
408.88,13.64
409.19,13.76
409.49,13.74
409.79,13.59
410.09,13.53
410.39,13.76
410.7,13.64
411.0,13.82
411.3,13.39
411.61,13.59
411.91,13.68
412.21,13.28
412.51,13.42
412.82,13.45
413.12,13.44
413.42,13.63
413.72,13.38
414.03,13.56
414.33,13.45
414.63,13.53
414.93,13.41
415.24,13.53
415.54,13.34
415.84,13.43
416.14,13.31
416.45,13.32
416.75,13.26
417.05,13.19
417.35,13.21
417.66,13.62
417.96,13.48
418.26,13.35
418.56,13.23
418.87,13.4
419.17,13.07
419.47,13.29
419.77,13.27
420.08,14.06
420.38,13.26
420.68,13.71
420.98,13.24
421.29,13.41
421.59,13.19
421.89,13.14
422.2,13.48
422.5,13.27
422.8,13.44
423.1,13.51
423.4,13.17
423.71,13.4
424.01,13.41
424.31,13.34
424.61,12.87
424.92,13.48
425.22,13.3
425.52,13.3
425.83,13.24
426.13,13.41
426.43,13.21
426.73,13.25
427.04,13.17
427.34,13.46
427.64,13.17
427.94,13.14
428.25,12.97
428.55,13.27
428.85,12.97
429.15,13.31
429.45,12.99
429.76,13.07
430.06,13.23
430.36,13.21
430.67,13.07
430.97,13.16
431.27,12.92
431.57,12.96
431.88,13.08
432.18,13.12
432.48,12.94
432.78,13.16
433.09,12.93
433.39,12.92
433.69,12.93
433.99,13.05
434.3,12.92
434.6,13.12
434.9,13.06
435.2,12.61
435.51,13.07
435.81,13.22
436.11,12.93
436.41,12.95
436.72,12.81
437.02,13.1
437.32,13.03
437.62,13.1
437.93,12.72
438.23,12.79
438.53,13.0
438.83,12.96
439.14,12.79
439.44,12.53
439.74,12.77
440.04,12.72
440.35,12.99
440.65,13.16
440.95,12.81
441.25,12.9
441.56,12.93
441.86,12.97
442.16,12.52
442.47,12.88
442.77,12.86
443.07,13.15
443.37,12.79
443.67,12.9
443.98,12.61
444.28,12.81
444.58,12.78
444.89,12.63
445.19,12.43
445.49,12.69
445.79,12.64
